,Location name,Address,Day,Times,What to do,Date added,gcode,lat,long
4,Public Bus 309X Queen St-Newmarket-Mangere,Auckland,Tuesday 17 August,3.30 pm - 5.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}], 'formatted_address': 'Auckland, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.66060179999999, 'lng': 174.9684261}, 'southwest': {'lat': -37.0590199, 'lng': 174.443816}}, 'location': {'lat': -36.85088270000001, 'lng': 174.7644881}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': -36.66060179999999, 'lng': 174.9684261}, 'southwest': {'lat': -37.0590199, 'lng': 174.443816}}}, 'place_id': 'ChIJ--acWvtHDW0RF5miQ2HvAAU', 'types': ['locality', 'political']}]",-36.85088270000001,174.7644881
5,Bus 95B or 95C Northcote College to Glenfield,Bus 95B or 95C,Tuesday 17 August,2.30 pm - 3.20 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,[],,
6,Bus 25B City Centre to Blockhouse Bay,Bus 25B,Tuesday 17 August,1.45 pm - 2.15 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,[],,
7,Mamak Malaysian Restaurant,"50 Kitchener Street, Auckland Central, 1010",Tuesday 17 August,1.15 pm - 1.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': '50', 'short_name': '50', 'types': ['street_number']}, {'long_name': 'Kitchener Street', 'short_name': 'Kitchener St', 'types': ['route']}, {'long_name': 'Auckland CBD', 'short_name': 'Auckland CBD', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1010', 'short_name': '1010', 'types': ['postal_code']}], 'formatted_address': '50 Kitchener Street, Auckland CBD, Auckland 1010, New Zealand', 'geometry': {'location': {'lat': -36.8483162, 'lng': 174.7676607}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.8469672197085, 'lng': 174.7690096802915}, 'southwest': {'lat': -36.8496651802915, 'lng': 174.7663117197085}}}, 'place_id': 'ChIJw6eEZvtHDW0RiJdBuvy4118', 'plus_code': {'compound_code': '5Q29+M3 Auckland, New Zealand', 'global_code': '4VMP5Q29+M3'}, 'types': ['street_address']}]",-36.8483162,174.7676607
8,Dress Smart Onehunga,"151 Arthur Street, Onehunga, Auckland, 1061",Tuesday 17 August,12.30 pm - 1.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '151', 'short_name': '151', 'types': ['street_number']}, {'long_name': 'Arthur Street', 'short_name': 'Arthur St', 'types': ['route']}, {'long_name': 'Onehunga', 'short_name': 'Onehunga', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1061', 'short_name': '1061', 'types': ['postal_code']}], 'formatted_address': '151 Arthur Street, Onehunga, Auckland 1061, New Zealand', 'geometry': {'location': {'lat': -36.9207786, 'lng': 174.786318}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9194296197085, 'lng': 174.7876669802915}, 'southwest': {'lat': -36.92212758029149, 'lng': 174.7849690197085}}}, 'place_id': 'ChIJKZNCLLJIDW0RPq002wAyfi4', 'plus_code': {'compound_code': '3QHP+MG Auckland, New Zealand', 'global_code': '4VMP3QHP+MG'}, 'types': ['street_address']}]",-36.9207786,174.786318
9,Auckland University of Technology,"2 Governor Fitzroy Place, Auckland Central, Auckland 1010",Tuesday 17 August,11.30 am - 1.00 pm,"Isolate at home. Those in or around lecture theatre WG403 or the level 4 foyer outside the lecture theatre, refer to information sent to you directly by ARPHS (letter dated 19 August 2021, Auckland University of Technology (AUT) Wellesley St campus - COVID-19 case) for what to do next. If you were in either of these areas and have not received information directly, please isolate at home and call Healthline for what to do next. Anyone who was elsewhere on the city campus should monitor their health and if they become unwell, isolate at home and call Healthline for advice.",18-Aug,"[{'address_components': [{'long_name': '2', 'short_name': '2', 'types': ['street_number']}, {'long_name': 'Governor Fitzroy Place', 'short_name': 'Gov Fitzroy Pl', 'types': ['route']}, {'long_name': 'Auckland CBD', 'short_name': 'Auckland CBD', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1010', 'short_name': '1010', 'types': ['postal_code']}], 'formatted_address': '2 Governor Fitzroy Place, Auckland CBD, Auckland 1010, New Zealand', 'geometry': {'location': {'lat': -36.8534183, 'lng': 174.7645969}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.85206931970851, 'lng': 174.7659458802915}, 'southwest': {'lat': -36.8547672802915, 'lng': 174.7632479197085}}}, 'place_id': 'ChIJZ2-Wu-VHDW0RsoKl85OnEAU', 'types': ['subpremise']}]",-36.8534183,174.7645969
10,Bus 25B Blockhouse Bay to City Centre,Bus 25B,Tuesday 17 August,11.00 am - 11.30 am,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,[],,
11,KFC Botany Downs,"452 Ti Rakau Drive, Botany Downs, Auckland 2013",Tuesday 17 August,10.30 am - 10.40 am,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '452', 'short_name': '452', 'types': ['street_number']}, {'long_name': 'Ti Rakau Drive', 'short_name': 'Ti Rakau Dr', 'types': ['route']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '2013', 'short_name': '2013', 'types': ['postal_code']}], 'formatted_address': '452 Ti Rakau Drive, Auckland 2013, New Zealand', 'geometry': {'location': {'lat': -36.9287299, 'lng': 174.9109856}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -36.9273809197085, 'lng': 174.9123345802915}, 'southwest': {'lat': -36.9300788802915, 'lng': 174.9096366197085}}}, 'place_id': 'Eh80NTIgVGkgUmFrYXUgRHJpdmUsIE5ldyBaZWFsYW5kIhsSGQoUChIJY3I6_mJLDW0R2L18YwkzRRQQxAM', 'types': ['street_address']}]",-36.9287299,174.9109856
12,Countdown Botany Downs,"Cnr Te Irirangi Drive &, Ti Rakau Drive, Botany Downs, Auckland 2023",Tuesday 17 August,10.20 am - 10.30 am,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': 'Ti Rakau Drive & Te Irirangi Drive', 'short_name': 'Ti Rakau Dr & Te Irirangi Dr', 'types': ['intersection']}, {'long_name': 'Golflands', 'short_name': 'Golflands', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '2013', 'short_name': '2013', 'types': ['postal_code']}], 'formatted_address': 'Ti Rakau Dr & Te Irirangi Dr, Golflands, Auckland 2013, New Zealand', 'geometry': {'location': {'lat': -36.9287974, 'lng': 174.9123991}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -36.9274484197085, 'lng': 174.9137480802915}, 'southwest': {'lat': -36.9301463802915, 'lng': 174.9110501197085}}}, 'place_id': 'EkNUaSBSYWthdSBEciAmIFRlIElyaXJhbmdpIERyLCBHb2xmbGFuZHMsIEF1Y2tsYW5kIDIwMTMsIE5ldyBaZWFsYW5kImYiZAoUChIJ64eATGJLDW0Raj36Kz4KY9cSFAoSCeuHgExiSw1tEWo9-is-CmPXGhQKEgkLHki7hEsNbRH7vEZYFQgMJBoUChIJu61fyVhMDW0RrF6Z2JUSHcEiCg3aHP3pFZeDQWg', 'types': ['intersection']}]",-36.9287974,174.9123991
13,Botany Town Centre Bus Stop,"Town Centre Dr, East Tamaki, Auckland 2013",Tuesday 17 August,9.52 am - 9.57 am,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': 'Town Centre Drive', 'short_name': 'Town Centre Dr', 'types': ['route']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '2013', 'short_name': '2013', 'types': ['postal_code']}], 'formatted_address': 'Town Centre Drive, Auckland 2013, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.9315757, 'lng': 174.9167949}, 'southwest': {'lat': -36.9355531, 'lng': 174.9109601}}, 'location': {'lat': -36.9337857, 'lng': 174.9132244}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -36.9315757, 'lng': 174.9167949}, 'southwest': {'lat': -36.9355531, 'lng': 174.9109601}}}, 'place_id': 'EiFUb3duIENlbnRyZSBEciwgMjAxMywgTmV3IFplYWxhbmQiLiosChQKEgk3dNzHnUwNbRHQf5iSsYPI8BIUChIJ83exdHxMDW0Ru6ZfVPawnyI', 'types': ['route']}]",-36.9337857,174.9132244
14,Bus #70 Pakuranga Town Centre to Botany Town Centre,Bus 70,Tuesday 17 August,9.38 am - 9.52 am,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,[],,
15,Unichem Pharmacy Birkenhead,"Birkenhead Avenue Shop 28, Highbury Shopping Centre",Tuesday 17 August,9.15 am - 9.30 am,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': 'Birkenhead Avenue', 'short_name': 'Birkenhead Ave', 'types': ['route']}, {'long_name': 'Birkenhead', 'short_name': 'Birkenhead', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0626', 'short_name': '0626', 'types': ['postal_code']}], 'formatted_address': '1 Cnr Highbury Bypass &, Birkenhead Avenue, Birkenhead, Auckland 0626, New Zealand', 'geometry': {'location': {'lat': -36.81095980000001, 'lng': 174.7247724}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -36.80961081970851, 'lng': 174.7261213802915}, 'southwest': {'lat': -36.81230878029151, 'lng': 174.7234234197085}}}, 'place_id': 'ChIJcx8fifE4DW0ROigD6RoZz5c', 'types': ['establishment', 'point_of_interest', 'shopping_mall']}]",-36.81095980000001,174.7247724
